Village,Nitrogen - High,Nitrogen - Medium,Nitrogen - Low,Phosphorous - High,Phosphorous - Medium,Phosphorous - Low,Potassium - High,Potassium - Medium,Potassium - Low,OC - High,OC - Medium,OC - Low,EC - Saline,EC - Non Saline,pH - Acidic,pH - Neutral,pH - Alkaline
Reddaiyambadi,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0
Ayakudi East,0,0,3,0,2,1,3,0,0,0,0,3,0,3,0,3,0
Kalickkanaickenpatti,0,0,22,1,18,4,13,10,1,0,0,22,0,22,0,21,0
D.Pudukottai,0,0,99,2,30,68,81,17,2,0,1,99,0,99,0,100,0
Mandavadi,1,7,99,27,12,68,90,17,0,0,19,88,0,107,0,107,0
Sindaiapatti,0,19,82,26,32,43,68,30,3,1,0,100,0,101,0,95,6
Thangachiammapatti,0,0,99,2,80,17,91,8,0,1,0,99,0,99,0,100,0
Kappilliapatti,0,4,96,3,31,65,54,42,4,1,0,99,2,97,0,100,0
Markampatti,0,0,2,1,1,0,2,0,0,0,0,2,2,0,0,2,0
Kollapatti,0,0,19,0,0,20,6,14,0,0,0,19,0,19,0,19,0
Athicombai,0,0,32,0,2,30,12,20,0,0,0,32,0,32,0,32,0
Chinnakkampatti,0,0,100,5,63,32,83,17,0,0,0,100,0,100,0,100,0
Dasaripatti,1,0,47,1,38,9,15,32,1,0,0,48,0,47,1,47,0
M.Athappampatti,0,0,141,63,53,25,118,22,1,0,1,140,16,124,3,134,0
I.Vadipatti,0,1,50,2,32,17,41,8,2,0,0,50,0,51,0,48,2
Puliyurnatham,0,3,47,1,22,27,27,20,2,0,0,50,0,48,0,50,0
Navakani,0,2,16,1,3,14,6,12,0,0,0,18,0,17,0,18,0
Puliyamarathukottai,0,0,48,1,22,25,38,9,1,0,0,48,0,46,0,48,0
Jawadupatti,1,0,47,0,42,6,44,4,0,2,0,45,0,46,0,45,0
Ellapatti,0,0,51,3,32,16,45,6,0,0,0,51,0,51,0,50,1
Sindalavadampatti,0,0,8,0,5,3,8,0,0,0,0,8,0,8,0,8,0
Lakkayankottai,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0
Sivagnanapuram,0,0,65,46,18,1,58,7,0,1,0,64,0,65,0,65,0
Bodiagoundanpatti,0,0,43,5,24,14,33,10,0,0,0,43,0,43,0,43,0
Sithargalnatham,0,0,112,1,0,111,93,17,2,1,0,111,0,112,0,74,38
Mattapparai,0,0,102,12,80,10,82,19,1,0,0,102,0,102,0,102,0
Veelinaickanpatti,0,0,81,7,34,40,51,30,0,0,1,80,13,68,0,77,4
Kodanginaickan patti,1,0,39,9,21,10,36,5,0,0,0,40,0,39,0,39,0
Oruthattu,0,0,36,14,12,10,33,3,0,0,0,34,0,32,0,31,0
Pachamalayankottai,0,3,32,0,12,23,33,2,0,0,0,35,0,34,0,35,0
Jambudurai Kottai,0,0,22,1,21,0,21,0,1,0,0,22,0,21,0,21,0
Malayagoundanpatti,0,0,23,0,0,23,18,5,0,0,0,23,0,23,0,23,0
Musuvanuthu,0,0,121,22,60,39,102,19,0,0,0,121,0,121,0,121,0
Nariyuthu,0,0,12,7,2,3,10,2,0,0,0,12,0,12,0,12,0
Kullalagundu,0,0,33,4,14,15,32,1,0,0,0,33,0,33,0,32,1
Kottur,0,2,18,8,9,3,20,0,0,0,0,20,0,20,0,20,0
Pallapatti,0,0,23,0,15,8,21,2,0,0,0,23,0,22,0,23,0
Pillaiyarnatham,0,0,15,1,7,7,14,1,0,0,0,15,0,14,0,15,0
Koovanuthu,0,0,8,1,5,2,7,1,0,0,0,8,0,8,0,8,0
Ethilodu,0,0,13,7,3,3,12,1,0,0,0,13,0,13,0,13,0
Nilakkottai,0,0,4,0,2,2,4,0,0,0,0,4,0,4,0,4,0
Kolladipatti,0,0,5,1,4,0,5,0,0,0,0,5,0,5,0,5,0
Kullichettipatti,0,0,3,3,0,0,3,0,0,0,0,3,0,3,0,3,0
Nuthulapuram,0,0,8,2,2,4,8,0,0,0,0,8,0,8,0,8,0
Ramarajapuram,0,0,3,2,1,0,2,1,0,0,0,3,0,3,0,3,0
Silukkuvarpatti,0,0,3,0,2,1,3,0,0,0,0,3,0,3,0,3,0
Nakkaluthu,0,0,3,0,3,0,3,0,0,0,0,3,0,3,0,3,0
Vilampatti,0,0,3,0,1,2,3,0,0,0,0,3,0,3,0,3,0
Chinnamanaickankottai,0,0,3,2,1,0,3,0,0,0,0,3,0,3,0,3,0
Sirangattupatti,0,0,200,44,97,58,118,82,0,1,2,197,0,200,1,197,1
Chellappanaickenpatti,0,0,9,0,8,1,9,0,0,0.832587502,2.967955889,26.17220713,0,9,0,3,6
Chellappanaickenpatti,1,2,91,5,28,62,55,42,1,0,2,92,0,94,0,90,0
Lingavadi,1,0,99,4,40,56,78,22,0,0,0,100,2,98,0,99,0
Kudagipatti,0,0,66,0,8,58,26,40,0,0,0,66,0,66,0,66,0
Sendurai,0,0,104,16,38,50,59,45,0,0,2,102,0,104,0,104,0
Nadumandalam,0,2,207,38,78,93,134,74,1,0,1,208,1,206,0,209,0
Pillaiyarnattam,0,0,30,19,11,0,30,0,0,1,0,29,0,30,0,30,0
Kilakkuchettipatti,0,1,76,2,43,33,21,56,1,0,0,77,0,77,67,8,0
Mannavanur,0,1,99,20,53,27,55,43,2,0,0,100,1,99,100,0,0
Thandigudi,0,7,120,22,74,31,125,2,0,0,0,127,0,127,13,114,0
Kookkal,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0
Karikali,0,0,101,13,40,48,76,25,0,0,0,101,0,101,0,101,0
Karungal,0,26,99,19,53,53,91,33,1,0,0,125,1,121,2,118,0
Koombur,0,17,86,14,51,38,72,32,0,0,0,103,1,100,1,98,1
Vadugambadi,0,1,75,22,29,25,56,20,0,0,0,76,0,76,0,76,0
Palayam,0,4,34,11,9,18,27,11,0,0,0,38,0,38,0,38,0
Kombai ( R),0,2,19,4,11,6,16,5,0,0,0,21,0,21,0,21,0
Mallapuram,0,0,19,3,8,8,13,6,0,0,0,19,0,19,0,19,0
Alambadi,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0
Kottanatham,0,0,7,1,5,1,3,3,1,0,0,7,0,7,0,7,0
Pudukottai (R),0,1,9,0,4,6,10,0,0,0,0,10,0,10,0,10,0
Chinnaluppai,0,2,2,1,1,2,3,1,0,0,0,4,0,4,0,4,0
Gudalur,0,0,7,0,3,4,6,1,0,0,0,7,0,7,0,7,0
Deendakkal,0,2,12,0,10,4,10,4,0,0,0,14,0,14,0,12,1
Landakottai,0,1,11,2,5,5,8,4,0,0,0,12,0,12,0,12,0
Ulliyakottai,0,1,6,1,3,3,5,2,0,0,0,7,0,7,0,7,0
Kovilur,0,0,20,2,9,9,15,4,1,0,0,20,1,19,1,19,0
A.Vellodu,0,0,21,2,8,11,13,7,1,1,0,20,0,21,0,15,6
Silapadi (CT),0,0,21,0,5,16,14,7,0,0,0,21,0,21,0,21,0
Pallapatti,0,0,28,0,19,9,9,19,0,0,0,28,0,28,0,28,0
Chettinaickenpatti (CT),0,0,19,0,0,19,11,8,0,0,0,19,0,19,0,19,0
Anaipatti,0,0,25,1,10,14,17,8,0,0,0,24,0,24,0,16,8
Periyakottai,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0
Sirumalai,0,5,168,49,118,6,169,6,0,0,1,171,0,172,25,144,0
Munnilakottai,0,0,102,56,17,29,88,14,0,2,0,100,0,102,1,71,30
Pillayarnattam,0,0,104,10,55,39,77,26,1,2,0,102,0,104,0,104,0
Toppampatti,0,0,105,80,25,0,97,8,0,0,0,105,59,46,0,105,0
Kilakottai,0,0,112,5,45,62,99,13,0,0,0,112,28,84,0,111,1
Athoor,0,0,44,1,1,42,32,11,1,0,0,44,0,44,0,36,8
Aiyampalayam,0,0,122,27,59,36,91,30,1,0,1,121,0,121,0,119,1
Narasingapuram,0,1,66,3,37,27,55,11,1,0,0,66,0,65,0,67,0
Sitharevu,0,0,99,5,49,45,77,22,0,0,0,99,1,97,0,97,0
Alamarathupatti,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0
Panaikulam,0,0,112,56,29,27,48,57,7,1,21,90,8,104,0,106,6
Sathiyanathapuram,0,0,124,71,29,24,47,63,14,0,28,96,3,121,5,113,6
Onnappagoundanahalli,0,0,100,45,27,28,52,42,6,0,8,92,24,76,0,100,0
Pennagaram R. F.,0,0,13,8,3,2,5,8,0,0,0,13,0,13,0,13,0
Senganur,0,0,19,10,8,1,6,13,0,0,0,19,0,19,0,19,0
Kukuttamaruthahalli,0,0,11,9,1,1,4,7,0,0,0,11,0,11,0,11,0
Kalappambadi,0,0,11,7,4,0,3,8,0,0,0,11,0,11,0,11,0
Koothapadi,0,0,14,5,8,1,4,10,0,0,0,14,0,14,0,14,0
Peyalmari,0,0,121,62,49,10,29,87,5,0,12,109,0,121,0,120,1
Pudupatti,0,0,10,6,2,2,7,3,0,0,0,10,0,10,0,8,1
Arakasanahalli,0,0,106,61,31,14,23,72,11,0,9,97,3,103,0,106,0
Maanjinaickanahalli,0,0,14,8,5,1,3,11,0,0,0,14,0,14,0,13,0
Parvathanahalli,0,0,15,7,7,1,5,10,0,0,0,15,0,15,0,15,0
Andarahalli,0,0,10,8,0,2,4,6,0,0,0,10,0,10,0,10,0
Velampatti,0,0,10,8,2,0,1,9,0,0,2,8,0,10,0,10,0
Papparapatti,0,0,26,16,10,0,4,21,1,0,1,25,0,26,0,26,0
Kariappanahalli,0,0,13,10,3,0,6,7,0,0,2,11,0,13,0,12,0
Pikkili,0,0,10,6,4,0,3,6,1,0,1,9,0,10,0,10,0
Madehalli,0,0,26,15,10,1,4,22,0,0,3,23,0,26,0,26,0
Chinnampalli,0,0,11,3,5,3,5,6,0,0,0,11,0,11,0,11,0
Kadamadai,0,0,16,11,3,2,6,9,1,0,0,16,0,16,1,15,0
Pallipatti,0,0,10,8,0,2,3,7,0,0,0,10,0,10,0,10,0
Rangapuram,0,0,7,2,5,0,1,6,0,0,0,7,0,7,1,6,0
Thithiyoppanahalli,0,0,32,13,17,2,2,27,3,0,0,32,1,31,0,29,3
Sigaralahalli,0,0,44,20,20,4,6,36,2,1,0,43,0,44,13,31,0
Vattuvanahalli,0,0,16,2,9,5,3,10,3,0,4,12,0,16,0,15,1
Anjehalli,0,0,14,9,4,1,2,9,3,0,4,10,0,14,0,14,0
Molayanur,0,0,103,16,49,38,79,24,0,0,8,95,1,102,0,103,0
Adigarapatty,0,0,99,36,48,15,57,41,1,2,20,77,1,98,0,98,1
A. Pallipatti,0,0,61,33,19,9,11,43,8,0,0,61,0,61,0,60,1
Jangalahalli,0,0,24,11,11,2,14,9,1,0,6,18,0,24,0,23,1
Kumbarahalli,1,0,82,45,30,8,23,60,0,0,2,81,2,81,0,77,6
P. Pallipatti,0,0,93,44,44,5,29,64,0,0,4,89,2,91,0,79,14
Ajjampatty,0,0,26,10,7,9,16,9,1,0,2,24,0,26,0,8,18
Puilparuthi,0,0,98,23,50,25,58,38,2,24,27,47,0,98,0,64,33
Bommidi,0,0,102,44,22,36,64,36,2,0,15,87,0,102,0,102,0
Kadiripuram,0,0,6,2,4,0,1,5,0,0,0,6,0,6,0,5,1
Varianur,0,0,12,8,1,3,9,2,1,0,0,12,0,12,0,1,11
Almelpuram,0,0,104,61,25,18,52,46,6,0,21,83,3,101,0,79,25
Kavandampatty,0,0,59,37,18,4,6,53,0,0,0,59,0,59,0,59,0
Suriyakadi,0,0,5,3,0,2,2,3,0,0,0,5,0,5,0,5,0
Pappambadi,0,0,5,3,1,1,0,5,0,0,0,5,0,5,0,5,0
Sitteri,0,0,5,4,1,0,1,3,1,0,0,5,0,5,0,5,0
Irulapatty,0,0,5,2,3,0,2,3,0,0,0,5,0,5,0,5,0
Thadampatti,0,0,4,2,2,0,1,3,0,0,0,4,0,4,0,4,0
Pudupatti,0,1,6,5,2,0,2,5,0,1,1,5,1,6,0,7,0
Alapuram,0,0,83,44,30,9,3,74,6,0,6,77,0,83,0,83,0
Pudinattam,0,0,11,6,5,0,4,7,0,0,0,11,0,11,0,11,0
Gundalamaduvu,0,0,9,3,5,1,3,6,0,0,1,8,0,9,0,9,0
Kolimekkenur,0,0,63,31,20,12,6,49,8,0,8,55,0,63,0,63,0
Kallattupatti,0,0,4,1,3,0,1,3,0,0,1,3,0,4,0,4,0
Elandaikuttapatty,0,0,12,7,4,1,3,8,1,0,4,8,0,12,0,12,0
Kombur,0,0,6,2,2,2,1,5,0,0,2,4,0,6,0,6,0
Nadupatti,0,0,8,6,2,0,1,7,0,0,3,5,0,8,0,8,0
Manjavadi,0,0,4,3,1,0,0,4,0,0,2,2,0,4,0,4,0
Nonanganur,0,0,4,3,1,0,1,2,1,0,0,4,0,4,0,4,0
Pattukonampatty,0,0,14,4,10,0,2,11,1,0,1,13,0,14,0,14,0
Pappireddipatti,0,0,3,1,2,0,0,3,0,0,1,2,0,3,0,3,0
Menasi,0,0,34,14,18,2,8,26,0,0,1,33,0,34,0,34,0
Chinnamanjavadi,0,0,3,3,0,0,0,3,0,0,0,3,0,3,0,3,0
Mangade,0,0,8,3,3,2,1,7,0,0,1,7,0,8,0,8,0
Kullampatty,0,0,5,1,3,1,0,5,0,0,1,4,0,5,0,5,0
Venkatesamudram,0,0,2,0,2,0,0,2,0,0,0,2,0,2,0,2,0
Karungal R.F.,0,0,3,2,1,0,0,3,0,0,0,3,0,3,0,3,0
Vellalapatti,0,0,22,6,15,1,3,19,0,0,0,22,0,22,0,22,0
Kadathur,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0
Vellalapatti,0,0,40,16,21,2,5,35,0,0,0,40,0,40,0,40,0
Kadathur,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0
Ammapalayam,0,0,2,1,1,0,2,0,0,0,0,2,0,2,0,2,0
Dandukaranahalli,0,0,109,35,55,19,62,45,2,0,14,95,3,106,0,78,31
Palacode,0,1,13,8,4,2,7,4,3,0,1,12,0,13,0,12,1
Samanur,1,0,114,50,51,14,53,53,9,0,12,103,8,107,0,94,21
Sekkodi,0,0,146,76,57,13,55,88,3,0,4,142,7,139,0,145,1
Booganahalli,0,0,110,55,28,27,45,59,6,0,22,88,39,71,0,109,1
Gummanur,0,0,24,12,6,6,9,13,2,0,6,18,1,23,0,22,2
Periyanur,0,0,18,8,10,0,7,11,0,0,1,17,0,18,0,18,0
Guthalahalli,0,0,20,12,7,1,4,16,0,0,0,20,0,20,0,20,0
Chikkadornabettam,0,0,16,9,5,2,4,12,0,0,2,14,1,15,0,16,0
Panjapalli,0,0,28,10,9,9,15,12,1,0,0,28,0,28,0,22,6
Athimutlu,0,0,14,6,5,3,6,7,1,0,2,12,0,14,0,14,0
Marandahalli,0,0,9,5,3,1,6,3,0,0,0,9,0,9,0,9,0
Namandahalli,0,0,13,3,7,3,7,6,0,0,2,11,0,13,0,13,0
Erranahalli,0,0,23,10,8,5,9,13,1,0,0,23,0,23,0,23,0
Bevuhalli,0,0,27,12,8,7,18,7,2,0,0,27,0,27,0,27,0
P. Gollahalli,0,0,115,69,34,12,45,69,1,0,12,103,5,110,0,115,0
Errakuttahalli,0,0,11,5,5,1,2,9,0,0,1,10,0,11,1,10,0
Erudukuttahalli,0,0,13,1,6,6,9,4,0,0,1,12,0,13,0,13,0
Kanavenahalli,0,0,16,9,6,1,6,10,0,0,0,16,0,16,0,16,0
Thirumalvadi,0,0,19,6,5,8,9,6,4,0,1,18,0,19,0,19,0
Boppidi,0,0,6,6,0,0,1,5,0,0,0,6,0,6,0,6,0
Sirandapuram,0,0,8,4,3,1,1,7,0,0,2,6,0,8,0,8,0
Sirenahalli,0,0,14,5,8,1,10,3,1,0,4,10,0,14,0,14,0
Budihalli,0,0,3,3,0,0,1,2,0,0,1,2,0,3,0,3,0
Settihalli,0,0,19,14,5,0,2,17,0,0,0,19,0,19,0,19,0
Domalahalli,0,0,8,7,1,0,0,8,0,0,0,8,0,8,0,8,0
Pulikkarai,0,0,29,13,13,3,10,19,0,0,0,28,0,29,0,29,0
Selliyampatti,0,0,5,1,4,0,2,3,0,0,0,5,0,5,0,5,0
Bathalahalli,0,0,10,4,6,0,3,7,0,0,0,10,0,10,0,10,0
Bolabhaguthanhalli,0,0,24,18,6,0,3,19,2,0,0,24,0,24,0,24,0
P.Settighalli,0,0,33,18,15,0,7,20,6,0,1,32,0,33,0,33,0
Sengabasuvantalar,0,0,8,4,4,0,6,2,0,0,0,8,0,8,0,8,0
Papinayakanahalli,0,0,19,12,7,0,6,12,1,0,0,19,0,19,0,19,0
Sitiganahalli,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0
Belamaranahalli,0,0,38,21,16,1,6,27,5,0,0,38,0,38,0,38,0
Gujjarahalli,1,0,29,14,14,2,12,13,5,0,0,30,0,30,0,30,0
Modugulahalli,0,0,12,7,5,0,1,10,1,0,3,9,0,12,0,12,0
Neralamarudahalli,0,0,6,1,4,1,0,5,1,0,6,0,0,6,0,6,0
Jertalar,0,0,13,8,4,1,5,6,2,0,2,11,0,13,0,13,0
Karukkamaranhalli,0,0,10,3,4,3,1,8,1,0,3,7,0,10,0,10,0
Chikkardanahalli,0,0,9,8,1,0,6,3,0,0,0,9,0,9,0,9,0
Jagirburgur,0,0,13,4,8,1,1,12,0,0,0,13,0,13,0,13,0
Karagodahalli,0,0,101,46,34,21,19,81,1,0,6,95,2,98,0,100,0
Chennanahalli,0,0,2,2,0,0,0,2,0,0,0,2,0,2,0,2,0
Nallur,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0
Chikkamarandhahalli,0,0,5,1,4,0,0,4,1,0,0,5,0,5,0,5,0
Kandenahalli,0,0,7,5,2,0,0,2,5,0,0,7,0,7,0,7,0
Upparahalli,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0
Nagarkoodal,0,0,140,67,56,17,47,93,0,0,8,132,11,129,0,140,0
Palavadi,0,0,99,41,39,19,29,53,17,0,3,96,13,86,0,99,0
Mittareddihalli,0,0,114,44,47,23,54,54,6,2,34,78,8,106,0,76,38
Maniathahalli,0,0,70,41,26,3,10,59,1,2,1,67,0,70,0,69,1
Nallampalli,0,0,153,67,70,16,46,104,3,0,6,147,0,153,0,153,0
Dhalavaihalli,0,0,133,80,28,25,50,82,1,3,20,110,3,130,0,132,1
Nathathahalli,0,0,8,0,2,6,6,2,0,0,0,8,0,8,0,8,0
Mookkanahalli,0,0,11,5,4,2,1,10,0,0,0,11,0,11,0,11,0
Somenahalli,0,0,7,4,2,1,5,2,0,0,0,7,0,7,0,7,0
Konangihalli,0,0,5,0,2,3,3,2,0,0,0,5,0,5,0,5,0
Pangunatham,0,0,21,12,4,5,6,14,1,0,0,21,0,21,0,20,1
Errabaiyanahalli,0,0,7,5,2,0,4,3,0,0,0,7,0,7,0,7,0
Nekkundhi,0,0,14,9,5,0,10,4,0,0,0,14,0,14,0,14,0
Echanahalli,0,0,4,2,2,0,1,3,0,0,0,4,0,4,0,4,0
Kumbalapadi,0,0,58,32,22,4,13,43,2,0,2,56,1,57,0,58,0
Laligam,0,0,109,68,28,13,16,92,1,0,4,105,0,109,0,109,0
Palayam,0,0,17,1,8,8,9,6,2,0,0,17,0,17,0,17,0
Sivadi,0,0,19,8,10,1,4,14,1,0,0,19,1,18,0,19,0
Dhinnahalli,0,0,53,14,32,7,15,38,0,0,1,52,2,51,0,53,0
Budanahalli,0,0,20,11,8,1,1,14,5,0,0,20,1,19,0,19,1
Mademangalam,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0
Thadangam,0,0,4,1,3,0,1,3,0,0,0,4,0,4,0,4,0
A.Jettihalli,0,0,7,5,2,0,0,7,0,0,0,7,0,7,0,7,0
Adiyamankottai,0,0,34,18,16,0,7,27,0,0,1,33,0,34,0,34,0
Pagalahalli,0,0,13,5,7,1,4,9,0,0,0,13,0,13,0,13,0
Boalanahalli,0,0,68,37,23,7,31,34,3,1,0,67,0,68,0,68,0
Elagiri,0,0,2,1,1,0,0,2,0,0,0,2,0,2,0,2,0
Balajangamanhalli,0,0,27,17,7,3,3,24,0,0,5,22,0,27,0,26,1
Dokkubodanahalli,0,1,82,50,22,11,6,70,7,0,2,81,0,83,0,83,0
Samandahalli,0,0,104,36,49,19,77,25,2,10,38,56,13,91,0,94,10
Navalai,0,0,98,61,25,12,36,59,3,0,2,96,0,98,0,98,0
Vagurappampatti,0,0,3,2,1,0,0,3,0,0,0,3,0,3,0,3,0
Bannikulam,0,0,15,8,7,0,0,14,1,1,1,13,0,15,0,15,0
Palayam,0,0,10,8,2,1,2,9,0,0,1,9,1,9,0,10,0
Nayinakavundampatti,0,0,5,2,3,0,1,4,0,0,0,5,0,5,0,5,0
Elavadi,1,0,15,10,5,1,3,11,2,0,2,14,1,15,0,16,0
Chinnakoundampatti,0,0,4,3,1,0,2,2,0,0,0,4,0,4,0,4,0
Ettipatty,0,0,2,0,1,1,1,1,0,0,0,2,0,2,0,2,0
Vengiyampatti,0,0,4,1,3,0,2,1,1,0,0,4,0,4,0,4,0
Andipatty,0,0,54,27,17,10,9,45,0,8,14,32,0,54,0,54,0
Obilinayakkanpatti,0,0,2,1,0,1,2,0,0,0,0,2,1,1,0,2,0
Thoppampatti,0,0,40,17,20,3,10,30,0,1,7,32,2,38,0,40,0
Gettupatty,0,0,4,1,2,1,0,4,0,0,0,4,0,4,0,4,0
Kosapatty,0,0,4,1,2,1,1,3,0,0,0,4,0,4,0,4,0
Sennampatti,0,0,25,15,7,3,4,21,0,0,6,19,0,25,0,25,0
Pallipatti,0,0,10,5,5,0,0,9,1,0,0,10,0,10,0,10,0
Kongarapatty,0,0,22,10,11,1,3,19,0,0,0,22,0,22,0,22,0
Battalahalli,0,0,8,8,0,0,0,8,0,0,0,8,0,8,0,8,0
Morappur,0,0,2,0,2,0,1,1,0,0,0,2,0,2,0,2,0
M.Vetrapatti,0,0,2,2,0,0,0,2,0,0,1,1,0,2,0,2,0
Gobinathampatti,0,0,31,11,13,7,12,18,1,0,2,29,0,31,0,31,0
Reddipatti,0,0,2,1,1,0,0,2,0,0,1,1,0,2,0,2,0
Mottayampatti,0,0,2,1,1,0,0,2,0,0,0,2,0,2,0,2,0
Nadupatti,0,0,2,0,2,0,0,2,0,0,0,2,0,2,0,2,0
Dasirihalli,0,0,2,1,1,0,1,1,0,0,0,2,0,2,0,2,0
Kondayampatty,0,0,2,1,1,0,0,2,0,0,0,2,0,2,0,2,0
Kurumbapatty,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0
Veppasennampatti,0,0,2,1,1,0,0,2,0,0,0,2,0,2,0,2,0
Bodinaickenhalli,0,0,2,1,1,0,0,2,0,0,0,2,0,2,0,2,0
Palayampalli,0,0,25,10,10,5,4,20,1,0,7,18,1,24,0,25,0
Avlampatty,0,0,2,0,2,0,1,1,0,0,0,2,0,2,0,2,0
Kelavalli,0,0,28,19,9,0,4,24,0,0,1,27,0,28,0,28,0
Kumbarahalli,0,0,118,50,37,31,70,44,4,3,11,104,18,100,8,109,0
Pachchiganapalli,0,0,5,4,0,1,1,3,1,0,2,3,0,5,2,3,0
Bommahalli,0,0,162,59,73,30,40,101,21,0,1,161,32,130,0,162,0
Karimangalam,0,0,11,9,2,0,1,10,0,0,0,11,0,11,2,9,0
Thellanahalli,0,0,21,18,1,2,5,15,1,0,7,14,8,13,0,21,0
Dindal,0,0,27,15,8,4,9,16,2,0,3,24,1,26,2,25,0
Pulikkal,0,0,29,19,9,1,4,24,1,0,0,29,0,29,0,29,0
Bandarahalli,0,0,24,18,4,2,4,18,2,0,2,22,1,23,1,23,0
Kottumaranahalli,0,0,31,14,12,5,13,17,1,0,2,29,2,29,0,31,0
Kerakodahalli,0,0,33,20,9,4,5,26,2,0,3,30,1,32,4,29,0
Donnenahalli,0,0,4,1,1,2,2,2,0,0,0,4,0,4,0,4,0
Adilam,0,0,51,18,16,17,23,26,2,0,0,51,2,49,0,51,0
Begarahalli,0,0,91,56,25,10,22,64,5,0,5,86,0,91,0,91,0
Naganampatty,0,0,12,7,4,1,1,10,1,0,3,9,0,12,2,10,0
Mahendramangalam,0,0,100,59,28,13,38,62,0,1,4,95,0,100,6,94,0
Molappanahalli,0,0,13,4,8,1,4,9,0,0,0,13,0,13,0,13,0
Periyanahalli,0,0,9,2,5,2,6,3,0,0,0,9,0,9,0,9,0
Poonathanahalli,0,0,3,0,3,0,2,1,0,0,1,2,0,3,0,3,0
Chennarayanahalli,0,0,21,6,12,3,12,9,0,0,2,19,0,21,0,21,0
Kalappanahalli,0,0,91,55,29,7,15,63,13,0,3,88,0,91,0,91,0
Pumandahalli,0,0,116,76,24,16,23,91,2,0,5,111,0,116,0,115,1
Indamangalam,0,0,4,2,2,0,2,2,0,0,0,4,0,4,0,4,0
Baisuhalli,0,0,7,4,3,0,1,6,0,0,0,7,0,7,0,5,2
Nariyanahalli,1,0,146,58,60,29,31,95,21,1,12,134,0,147,1,144,2
Hanumanthapuram,0,0,20,10,9,1,3,16,1,0,0,20,0,20,0,20,0
Murukkampatti,0,0,3,0,3,0,1,2,0,0,0,3,0,3,0,3,0
Elumichanahalli,0,1,32,15,8,10,8,20,5,0,2,31,0,33,0,33,0
Mukkulam,0,0,95,37,43,15,20,67,8,1,10,84,0,95,0,94,1
Nachanampatty,0,0,16,7,9,0,4,12,0,0,0,16,0,16,0,16,0
Kattur,0,0,22,4,16,2,14,8,0,0,0,22,0,22,0,22,0
Sandappatti,0,0,7,1,3,3,5,2,0,2,1,4,0,7,0,7,0
Soorapatti,0,0,26,10,11,5,19,7,0,0,1,25,0,26,0,26,0
Chintalpadi,0,1,218,87,101,31,84,126,9,2,19,198,0,219,1,215,3
Venakkampatti,0,0,6,1,2,3,3,3,0,0,0,6,0,6,0,4,2
Kottarapatty,0,0,13,8,3,2,6,6,1,0,4,9,0,13,0,13,0
Mookanurpatti,0,0,10,0,10,0,10,0,0,0.832587502,2.967955889,26.17220713,5,5,0,1,9
Mookanurpatti,0,0,10,4,6,0,5,5,0,0,0,10,1,9,0,10,0
Thalanatham,0,0,91,56,27,8,32,52,7,0,2,88,0,90,3,84,3
Unisenahalli,0,0,104,46,37,21,39,62,3,0,16,88,10,94,2,101,1
Madathahally,0,0,104,58,28,18,25,76,3,0,2,102,10,94,1,103,0
Basuvapuram,0,0,2,1,1,0,0,2,0,0,0,2,0,2,0,2,0
Thadhanur,0,0,2,2,0,0,0,2,0,0,0,2,0,2,0,2,0
Rameyanahalli,0,0,2,0,2,0,1,1,0,0,0,2,0,2,0,2,0
Annamalaipatty,0,0,3,2,1,0,0,2,1,0,0,3,0,3,0,3,0
Tenkaraikottai,0,0,2,1,1,0,2,0,0,0,0,2,0,2,0,2,0
Obilinayakkanahalli,0,0,2,1,1,0,2,0,0,0,0,2,0,2,0,2,0
Kadaranampatty,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0
Thinnahalli,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0
Papichettipatti,0,0,2,2,0,0,1,0,1,0,1,1,0,2,0,2,0
Balasamudram,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0
Allalapatty,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0
Buddireddipatti,0,0,117,64,48,5,23,86,8,0,3,114,14,102,14,100,1
Regadahalli,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0
Mottankurichi,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0
Maniyabadi,0,0,7,3,3,1,1,6,0,0,1,6,0,7,1,6,0
Kottapatty,0,0,56,16,29,11,35,21,0,0,4,52,2,54,0,52,4
